Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,_is_used_in_algorithm,_uses_technique,application_generates,applied_algorithm_has_input,bearer_of,correlates_with,decreased_in_magnitude_relative_to,definition,describes,different_in_magnitude_relative_to,directly_associated_with,empirically_validates,equation_is_part_of,function_of,generated_by_applying,has part,has_about,has_boolean_quality,has_constant,has_contentMathML,has_cross_section,has_disposition,has_dividend_entity,has_dividend_quality,has_divisor_entity,has_divisor_quality,has_endianity,has_enhanced_presentationMathML,has_function,has_input,has_invasiveness,has_latex_math,has_measurement_unit_label,has_output,has_parameter,has_part,has_part_equation,has_part_simstep,has_participant,has_policy,has_quality,has_quantitative_quality,has_ratio_quality,has_raw_presentationMathML,has_relative_magnitude,has_role,has_time_point,has_time_span,has_value,has_variable,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/title,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#comment,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#def,http://www.geneontology.org/formats/oboInOwl#exact_synonym,http://www.geneontology.org/formats/oboInOwl#format-version,http://www.geneontology.org/formats/oboInOwl#hasDefinition,http://www.geneontology.org/formats/oboInOwl#hasSynonym,http://www.geneontology.org/formats/oboInOwl#narrow_synonym,http://www.geneontology.org/formats/oboInOwl#ObsoleteProperty,http://www.geneontology.org/formats/oboInOwl#related_synonym,http://www.geneontology.org/formats/oboInOwl#replacedBy,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2002/07/owl#topObjectProperty,http://www.w3.org/2002/07/owl#versionInfo,increased_in_magnitude_relative_to,inheres_in,inheres_in,initiates_process,inversely_associated_with,is_about,is_annotated_via,is_described_by,is_empirically_validated_by,is_initiated_by,is_input_of,is_input_of_applied,is_magnitude_of,is_mathematically_described_by,is_measurement_of,is_output_of,is_param_used_in,is_parameter,is_part_of,is_part_of_simulation,is_performed_by,is_performed_on,is_preceded_by,is_solved_using,is_unit_of,is_used_in,located_in,location_of,mathematically_describes,measurement_produces,part_of,participates_in,PMID,precedes,process_uses_param,quality_of,realized_by,reciprocal_of,searchable,similar_in_magnitude_relative_to,singly_occurring_form_of,solves_equation,towards,uses,value_calculated_using
http://purl.org/obo/owl/PATO#PATO_0002238,antrorse,,,false,,,http://purl.org/obo/owl/PATO#PATO_0000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002238,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002238,,,,,,,,A curvature quality inhering in a bearer by virtue of the bearer's being curved forward or upward.,,,,,,,,,antrorse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002236,aliform,wing-shaped,,false,,,http://purl.org/obo/owl/PATO#PATO_0002006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002236,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002236,,,,,,wing-shaped,,Shape quality inhering in a bearer by virtue of the bearer's being shaped like a wing.,,,,,,,,,aliform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002239,hourglass-shaped,figure 8 shaped,,false,,,http://purl.org/obo/owl/PATO#PATO_0002008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002239,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002239,,,,,,figure 8 shaped,,"A concave 3-D shape that inheres in the bearer by virtue of the bearer's nearly) symmetric shape wide at its ends and narrow in the middle, resembling the figure of number 8.",,,,,,,,,hourglass-shaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002237,retrorse,,,false,,,http://purl.org/obo/owl/PATO#PATO_0000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002237,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002237,,,,,,,,A curvature quality inhering in a bearer by virtue of the bearer's being curved backward or downward.,,,,,,,,,retrorse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002235,blade-like, sword-like|ensiform |blade-shaped|sword-like|sword-shaped|ensiform,,false,,,http://purl.org/obo/owl/PATO#PATO_0001500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002235,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002235,,,,,, sword-like|ensiform |blade-shaped|sword-like|sword-shaped|ensiform,,"A tapered shape quality inhering in a bearer by virtue of the bearer's being flat, slender, and tapering to a point.",,,,,,,,,blade-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9821,suidae,pig|pigs,"Suidae is the biological family to which pigs belong. In addition to numerous fossil species, up to sixteen extant species are currently recognized, classified into between four and eight genera. The family includes the domestic pig, Sus scrofa domesticus or Sus domesticus, in addition to numerous species of wild pig, such as the babirusa Babyrousa babyrussa and the warthog Phacochoerus aethiopicus. All suids are native to the Old World, ranging from Asia and its islands, to Europe, and Africa.

The earliest fossil suids date from the Oligocene epoch of Asia, and their descendants reached Europe during the Miocene.[1] Several fossil species are known, and show adaptations to a wide range of different diets, from strict herbivory to possible carrion-eating (in Tetraconodon).[2]

source: http://en.wikipedia.org/wiki/Porcine",false,,,http://purl.obolibrary.org/obo/NCBITaxon_2759,,,,,,,,"Suidae is the biological family to which pigs belong. In addition to numerous fossil species, up to sixteen extant species are currently recognized, classified into between four and eight genera. The family includes the domestic pig, Sus scrofa domesticus or Sus domesticus, in addition to numerous species of wild pig, such as the babirusa Babyrousa babyrussa and the warthog Phacochoerus aethiopicus. All suids are native to the Old World, ranging from Asia and its islands, to Europe, and Africa.

The earliest fossil suids date from the Oligocene epoch of Asia, and their descendants reached Europe during the Miocene.[1] Several fossil species are known, and show adaptations to a wide range of different diets, from strict herbivory to possible carrion-eating (in Tetraconodon).[2]

source: http://en.wikipedia.org/wiki/Porcine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ncbitaxon:NCBITaxon_9821,,,,,,,,,,,http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9821,,,,,,pig|pigs,,,,,,porcine,,,,,suidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001345,h minus,h -|M,,false,,,http://purl.org/obo/owl/PATO#PATO_0001343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001345,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001345,,,,,,h -|M,,A S. pombe mating type determined by the mat1-Mc and mat1-Mi on the mat1 locus.,,,,,,,,,h minus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001346,h plus,P|h+,,false,,,http://purl.org/obo/owl/PATO#PATO_0001343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001346,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001346,,,,,,P|h+,,A S. pombe mating type determined by the mat1-Pc and mat1-Pi on the mat1 locus.,,,,,,,,,h plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001349,high frequency recombinant,Hfr,,false,,,http://purl.org/obo/owl/PATO#PATO_0001348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001349,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001349,,,,,,Hfr,,A mating type that indicates that the F plasmid has integrated into the chromosome.,,,,,,,,,high frequency recombinant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001343,Schizosaccharomyces pombe mating type,Schizosaccharomyces pombe mating types,,false,,,http://purl.org/obo/owl/PATO#PATO_0001337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001343,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001343,,,,,,Schizosaccharomyces pombe mating types,,A S. pombe mating type determined by the gene configuration on the mat1 locus.,,,,,,,,,Schizosaccharomyces pombe mating type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001344,alpha mating type (yeast),,,false,,,http://purl.org/obo/owl/PATO#PATO_0001342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001344,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001344,,,,,,,,A S. cerevisiae mating type cells that secrete a pheromone that stimulates a haploids.,,,,,,,,,alpha mating type (yeast),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001341,a mating type (yeast),,,false,,,http://purl.org/obo/owl/PATO#PATO_0001342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001341,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001341,,,,,,,,A S. cerevisiae mating type cells that secrete a pheromone that in alpha haploids stimulates processes that lead to mating.,,,,,,,,,a mating type (yeast),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001342,Saccharomyces cerevisiae mating type,Saccharomyces cerevisiae mating types,,false,,,http://purl.org/obo/owl/PATO#PATO_0001337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001342,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001342,,,,,,Saccharomyces cerevisiae mating types,,A S. cerevisiae mating type.,,,,,,,,,Saccharomyces cerevisiae mating type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001340,hermaphrodite,hermaphrodites|intersex,,false,,,http://purl.org/obo/owl/PATO#PATO_0001894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001340,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001340,,,,,,hermaphrodites|intersex,,A biological sex quality inhering in an organism or a population with both male and female sexual organs in one individual.,,,,,,,,,hermaphrodite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001347,F mating type,F mating types,,false,,,http://purl.org/obo/owl/PATO#PATO_0001335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001347,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001347,,,,,,F mating types,,A bacterial mating type indicating the presence of F plasmid in a bacterial cell.,,,,,,,,,F mating type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0001348,F minus mating type,F minus mating types|F-,,false,,,http://purl.org/obo/owl/PATO#PATO_0001335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0001348,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0001348,,,,,,F minus mating types|F-,,A bacterial mating type indicating the absence of F plasmid in a bacterial cell.,,,,,,,,,F minus mating type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002042,decreased anterior-posterior diameter,low anterior-posterior diameter,,false,,,http://purl.org/obo/owl/PATO#PATO_0002041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002042,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002042,,,,,,low anterior-posterior diameter,,,,,,,,,,,decreased anterior-posterior diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002047,adaxial to,,,false,,,http://purl.org/obo/owl/PATO#PATO_0000140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002047,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002047,,,,,,,,A spatial quality inhering in a bearer by virtue of the bearer's being located on the side nearest to the axis of an organ or organism.,,,,,,,,,adaxial to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002048,mosaicism,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002048,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002048,,,,,,,,"An organismal quality inhering in a bearer by virtue of the bearer's having two or more cell populations that differ in genetic makeup. This situation can affect any type of cell, including blood cells, gametes (egg and sperm cells), and skin.",,,,,,,,,mosaicism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002040,biconvex,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002040,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002040,,,,,,,,A shape quality inhering in a bearer by virtue of the bearer's being convex on both sides or surface.,,,,,,,,,biconvex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002046,abaxial to,,,false,,,http://purl.org/obo/owl/PATO#PATO_0000140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002046,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002046,,,,,,,,A spatial quality inhering in a bearer by virtue of the bearer's being away from or on the opposite side of the central axis.,,,,,,,,,abaxial to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002043,increased anterior-posterior diameter,high anterior-posterior diameter,,false,,,http://purl.org/obo/owl/PATO#PATO_0002041|http://purl.org/obo/owl/PATO#PATO_0001714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002043,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002043,,,,,,high anterior-posterior diameter,,An anterior-posterior diameter quality which is relatively large.,,,,,,,,,increased anterior-posterior diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002044,trapezoid,trapezoidal,,false,,,http://purl.org/obo/owl/PATO#PATO_0001988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002044,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002044,,,,,,trapezoidal,,A shape quality inhering in a bearer by virtue of the bearer's being a quadrilateral with two parallel sides.,,,,,,,,,trapezoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002049,lateral and rotional curvature,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002049,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002049,,,,,,,,A curvature quality inhering in a bearer by virtue of the bearer's being curved around an axis and towards the side.,,,,,,,,,lateral and rotional curvature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
